name,hex,hue,lightness,saturation,family
purple,#7e1e9c,285.71,0.365,0.677,violet
green,#15b01a,121.94,0.386,0.787,green
blue,#0343df,222.55,0.443,0.973,azure
pink,#ff81c0,330.0,0.753,1.0,rose
brown,#653700,32.67,0.198,1.0,orange
red,#e50000,0.0,0.449,1.0,red
light blue,#95d0fc,205.63,0.786,0.945,cyan
teal,#029386,174.62,0.292,0.973,teal
orange,#f97306,26.91,0.5,0.953,red
light green,#96f97b,107.14,0.729,0.913,chartreuse
magenta,#c20078,322.89,0.38,1.0,magenta
yellow,#ffff14,60.0,0.539,1.0,yellow
sky blue,#75bbfd,209.12,0.725,0.971,cyan
grey,#929591,105.0,0.576,0.019,grey
lime green,#89fe05,88.19,0.508,0.992,yellow
light purple,#bf77f6,274.02,0.716,0.876,violet
violet,#9a0eea,278.18,0.486,0.887,violet
dark green,#033500,116.6,0.104,1.0,chartreuse
turquoise,#06c2ac,172.98,0.392,0.94,teal
lavender,#c79fef,270.0,0.78,0.714,violet
dark blue,#00035b,238.02,0.178,1.0,azure
tan,#d1b26f,41.02,0.627,0.516,orange
cyan,#00ffff,180.0,0.5,1.0,cyan
aqua,#13eac9,170.79,0.496,0.85,teal
forest green,#06470c,125.54,0.151,0.844,green
mauve,#ae7181,344.26,0.563,0.274,rose
dark purple,#35063e,290.36,0.133,0.824,violet
bright green,#01ff07,121.42,0.502,1.0,green
maroon,#650021,340.4,0.198,1.0,rose
olive,#6e750e,64.08,0.257,0.786,yellow
salmon,#ff796c,5.31,0.712,1.0,red
beige,#e6daa6,48.75,0.776,0.561,orange
royal blue,#0504aa,240.36,0.341,0.954,blue
navy blue,#001146,225.43,0.137,1.0,azure
lilac,#cea2fd,269.01,0.814,0.958,blue
black,#000000,0.0,0.0,0.0,grey
hot pink,#ff028d,327.04,0.504,1.0,magenta
light brown,#ad8150,31.61,0.496,0.368,orange
pale green,#c7fdb5,105.0,0.851,0.947,chartreuse
peach,#ffb07c,23.82,0.743,1.0,red
olive green,#677a04,69.66,0.247,0.937,yellow
dark pink,#cb416b,341.74,0.525,0.57,rose
periwinkle,#8e82fe,245.81,0.753,0.984,blue
sea green,#53fca1,147.69,0.657,0.966,green
lime,#aaff32,84.88,0.598,1.0,yellow
indigo,#380282,265.31,0.259,0.97,blue
mustard,#ceb301,52.1,0.406,0.99,orange
light pink,#ffd1df,341.74,0.91,1.0,rose
rose,#cf6275,349.54,0.598,0.532,rose
bright blue,#0165fc,216.1,0.496,0.992,azure
neon green,#0cff0c,120.0,0.524,1.0,green
burnt orange,#c04e01,24.19,0.378,0.99,red
aquamarine,#04d8b2,169.25,0.431,0.964,teal
navy,#01153e,220.33,0.124,0.968,azure
grass green,#3f9b0b,98.33,0.325,0.867,chartreuse
pale blue,#d0fefe,180.0,0.906,0.958,cyan
dark red,#840000,0.0,0.259,1.0,red
bright purple,#be03fd,284.88,0.502,0.984,violet
yellow green,#c0fb2d,77.18,0.58,0.963,yellow
baby blue,#a2cffe,210.65,0.816,0.979,azure
gold,#dbb40c,48.7,0.453,0.896,orange
mint green,#8fff9f,128.57,0.78,1.0,green
plum,#580f41,318.9,0.202,0.709,magenta
